sample_id,timestamp,data_type,protein_content,fat_content,carbohydrate_content,moisture,ash,ph_level,viscosity,quality_score,lab_technician,product_line
NPTC_0001,2025-09-29 05:22:42.054414,analytical,41.62,3.09,49.04,9.93,2.28,6.61,1565.8,90.8,David_Wilson,Baby_Formula
NPTC_0002,2025-09-26 07:22:42.054547,analytical,14.03,4.37,53.49,5.17,2.7,6.6,1217.2,85.7,David_Wilson,Baby_Formula
NPTC_0003,2025-09-29 08:22:42.054591,sensory,12.74,2.79,42.8,9.24,2.55,6.29,1045.7,85.4,David_Wilson,Protein_Powder
NPTC_0004,2025-09-29 03:22:42.054628,pilot_plant,12.18,2.19,51.26,11.43,3.0,6.97,1426.4,79.2,Alice_Smith,Protein_Powder
NPTC_0005,2025-09-28 04:22:42.054661,pilot_plant,17.18,4.06,46.28,8.6,1.92,5.96,874.9,90.1,Alice_Smith,Beverage_Mix
NPTC_0006,2025-09-24 12:22:42.054696,pilot_plant,9.77,3.92,49.57,7.85,2.09,5.59,1469.9,79.9,Alice_Smith,Cereal_Bar
NPTC_0008,2025-09-27 20:22:42.054849,analytical,13.17,4.64,48.7,8.46,1.89,5.67,1288.1,85.4,Bob_Jones,Beverage_Mix
NPTC_0009,2025-09-25 18:22:42.054963,pilot_plant,14.33,3.46,43.15,8.72,2.45,7.57,1109.6,84.0,Alice_Smith,Cereal_Bar
NPTC_0010,2025-09-25 21:22:42.055005,analytical,11.84,3.2,44.63,6.4,2.19,6.53,1089.5,84.2,David_Wilson,Baby_Formula
NPTC_0011,2025-09-25 10:22:42.055041,analytical,11.17,3.08,41.57,7.11,2.94,7.6,1161.6,76.6,Bob_Jones,Baby_Formula
NPTC_0012,2025-09-29 19:22:42.055076,analytical,12.33,3.47,45.76,9.02,1.83,6.18,1404.6,85.2,Bob_Jones,Protein_Powder
NPTC_0013,2025-09-27 01:22:42.055110,analytical,14.94,2.89,43.59,8.55,3.37,6.86,1166.7,91.0,Carol_Davis,Beverage_Mix
NPTC_0014,2025-09-29 01:22:42.055142,analytical,14.22,2.35,48.17,7.0,3.17,6.17,1185.6,90.7,David_Wilson,Beverage_Mix
NPTC_0015,2025-09-25 08:22:42.055180,pilot_plant,12.95,4.25,37.76,8.32,2.53,7.43,1002.6,80.7,Bob_Jones,Beverage_Mix
NPTC_0016,2025-09-24 02:22:42.055253,analytical,9.86,3.88,54.74,8.78,2.32,6.69,863.1,83.2,Bob_Jones,Baby_Formula
NPTC_0017,2025-09-24 05:22:42.055498,sensory,11.57,2.31,50.14,9.25,2.61,5.29,1704.7,79.6,Alice_Smith,Cereal_Bar
NPTC_0018,2025-09-28 06:22:42.055541,analytical,12.79,3.42,49.94,8.12,3.13,6.59,1794.0,92.1,David_Wilson,Cereal_Bar
NPTC_0019,2025-09-24 03:22:42.055572,pilot_plant,12.48,3.35,48.83,7.68,2.7,5.24,1317.3,82.6,David_Wilson,Cereal_Bar
NPTC_0020,2025-09-27 05:22:42.055603,analytical,12.6,3.37,39.57,8.31,2.59,6.09,1280.7,84.9,Carol_Davis,Cereal_Bar
NPTC_0021,2025-09-25 04:22:42.055635,analytical,10.45,2.25,48.05,10.23,2.07,5.45,1381.4,74.7,Alice_Smith,Beverage_Mix
NPTC_0022,2025-09-27 05:22:42.055673,analytical,9.63,4.26,50.74,8.38,2.49,5.88,949.8,80.8,Bob_Jones,Cereal_Bar
NPTC_0023,2025-09-25 23:22:42.055704,analytical,11.67,3.68,35.84,8.61,2.13,7.42,1240.5,77.0,Carol_Davis,Cereal_Bar
